1106, 67.5363, 15.6377, 24524, 1101, 121, 73, 5385
6637, 359.3861, -82.1699, 24612, 44, 279, 34, 5458
3975, 215.8442, 8.4466, 24692, 3981, 89, 16, 5492
3981, 216.0756, 8.0841, 24692, 3975, 88, 16, 5508
919, 57.4315, 23.7117, 24724, 905, 287, 53, 5524
2313, 119.7106, -60.8244, 24768, 2295, 76, 48, 5577
2068, 109.5766, -36.734, 24858, 2061, 142, 65, 5625
2388, 123.3729, -35.8995, 24983, 2392, 211, 74, 5690
1447, 83.5162, -1.0357, 25033, 1448, 49, 77, 5764
2043, 108.7027, -26.7726, 25242, 2035, 250, 75, 5841
2381, 122.9998, -46.6443, 25487, 2390, 403, 90, 5916
461, 29.9089, 64.6215, 25599, 475, 147, 43, 6006
268, 16.9432, -9.7855, 25680, 277, 332, 26, 6049
1454, 83.7845, 9.9342, 26001, 1451, 189, 54, 6075
2546, 130.8002, -79.07, 26037, 2564, 210, 32, 6129
5088, 275.8702, -36.238, 26056, 5101, 555, 56, 6161
6073, 325.3926, 40.805, 26179, 6087, 103, 42, 6217
6087, 325.7769, 41.1549, 26179, 6073, 102, 43, 6259
796, 50.8051, 49.2132, 26311, 806, 105, 51, 6302
806, 51.4892, 49.1206, 26311, 796, 104, 50, 6353
3746, 201.3065, -64.4852, 26506, 3759, 201, 71, 6403
3008, 156.0925, 34.1763, 26508, 3007, 57, 26, 6474
557, 36.4061, 50.2786, 26516, 565, 466, 39, 6500
1114, 67.9661, 15.8514, 26720, 1107, 133, 73, 6539
2096, 110.8829, -32.202, 26968, 2102, 111, 83, 6612
2102, 111.1826, -31.8089, 26968, 2096, 110, 86, 6695
4073, 221.8439, -25.6243, 27112, 4074, 194, 32, 6781
3073, 159.3627, -58.7333, 27637, 3077, 114, 95, 6813
3077, 159.6874, -59.183, 27637, 3073, 113, 91, 6908
1436, 83.1723, -1.5918, 27829, 1442, 42, 77, 6999
2257, 117.3095, -46.3732, 27909, 2255, 59, 85, 7076
6228, 333.7629, 57.0438, 27967, 6210, 382, 65, 7161
4943, 268.2051, -34.1149, 28065, 4954, 45, 59, 7226
2250, 117.0834, -47.0781, 28197, 2245, 58, 78, 7285
6100, 326.3622, 61.1208, 28227, 6116, 255, 60, 7363
1101, 67.1661, 15.8708, 28336, 1096, 170, 72, 7423
1092, 67.0153, 1.8586, 28363, 1097, 478, 32, 7495
5530, 297.3646, 38.7101, 28434, 5520, 309, 59, 7527
811, 52.0129, 49.0628, 28514, 816, 125, 52, 7586
816, 52.342, 49.5088, 28514, 811, 124, 54, 7638
1922, 103.3871, -20.2242, 28518, 1933, 127, 67, 7692
1933, 103.9062, -20.1363, 28518, 1922, 126, 66, 7759
2192, 114.9324, -38.1392, 28560, 2206, 129, 81, 7825
2206, 115.3158, -38.5335, 28560, 2192, 128, 86, 7906
3015, 156.478, 33.7959, 28622, 3008, 107, 27, 7992
1031, 64.5971, 21.5792, 28824, 1036, 262, 76, 8019
6495, 349.476, -9.1826, 28886, 6501, 714, 30, 8095
1107, 67.6406, 16.1939, 28948, 1110, 36, 74, 8125
3326, 175.2233, -62.0901, 28952, 3335, 135, 106, 8199
3335, 175.8799, -62.4894, 28952, 3326, 134, 99, 8305
1478, 84.364, -5.9384, 29021, 1459, 34, 71, 8404
2400, 123.9951, -35.9032, 29027, 2388, 93, 72, 8475
697, 44.9215, -2.465, 29101, 702, 177, 37, 8547
2762, 141.3624, -61.9502, 29148, 2776, 533, 78, 8584
6172, 331.2522, 62.7859, 29167, 6174, 542, 54, 8662
2059, 109.2058, -36.5926, 29310, 2061, 142, 65, 8716
2061, 109.2856, -37.0974, 29310, 2059, 141, 66, 8781
6086, 325.7683, -14.3996, 29373, 6072, 716, 28, 8847
6138, 329.0947, -37.2537, 29379, 6142, 359, 22, 8875
1039, 64.9909, 14.0351, 29391, 1060, 146, 64, 8897
1060, 65.5152, 14.0771, 29391, 1039, 145, 68, 8961
475, 30.7185, 64.9014, 29468, 479, 148, 39, 9029
479, 30.7508, 64.39, 29468, 475, 147, 39, 9068
1792, 97.7899, 11.2514, 29857, 1806, 150, 46, 9107
1806, 98.097, 11.6734, 29857, 1792, 149, 46, 9153
2881, 147.8319, -46.1937, 29913, 2874, 602, 62, 9199
2119, 111.9289, -22.8592, 29944, 2142, 290, 73, 9261
3485, 185.6262, 25.8461, 30019, 3472, 251, 26, 9334
3696, 198.4894, -43.139, 30058, 3682, 355, 48, 9360
1256, 75.5827, 74.2695, 30072, 1267, 156, 28, 9408
1267, 76.0535, 73.7638, 30072, 1256, 155, 27, 9436
2955, 153.3449, -51.233, 30119, 2956, 158, 67, 9463
2956, 153.3663, -51.7558, 30119, 2955, 157, 70, 9530
5613, 300.469, -66.9443, 30138, 5634, 259, 38, 9600
2310, 119.5601, -49.2449, 30158, 2324, 161, 81, 9638
2324, 120.1206, -48.8718, 30158, 2310, 160, 87, 9719
2444, 126.145, -3.7514, 30159, 2463, 163, 25, 9806
2463, 126.6132, -3.9878, 30159, 2444, 162, 26, 9831
1285, 76.6903, -4.6552, 30490, 1297, 292, 75, 9857
4358, 237.4046, -3.4303, 30638, 4369, 734, 21, 9932
2201, 115.1966, 13.7712, 30787, 2211, 370, 38, 9953
2522, 129.8492, -53.4397, 30818, 2531, 53, 87, 9991
5648, 302.6398, 26.9042, 30818, 5654, 169, 43, 10078
5654, 303.0029, 26.4788, 30818, 5648, 168, 42, 10121
1096, 67.1099, 16.3597, 30859, 1107, 133, 72, 10163
3422, 182.103, -60.8471, 30989, 3434, 488, 94, 10235
795, 50.6883, 20.742, 31066, 790, 519, 45, 10329
2383, 123.1283, -46.2642, 31105, 2397, 694, 90, 10374
5254, 283.7803, -22.6715, 31251, 5259, 228, 51, 10464
6032, 322.5849, 52.9581, 31346, 6015, 420, 60, 10515
688, 44.6752, -2.7831, 31369, 702, 177, 37, 10575
702, 45.212, -2.8786, 31369, 688, 176, 37, 10612
3299, 173.8048, -47.3726, 31385, 3310, 179, 36, 10649
3310, 174.3912, -47.7472, 31385, 3299, 178, 33, 10685
3579, 190.788, -56.1763, 31420, 3588, 378, 70, 10718
6472, 347.9341, 8.7201, 31583, 6460, 726, 24, 10788
2700, 138.2318, -59.4139, 31585, 2725, 558, 75, 10812
5435, 292.5439, 2.9041, 31591, 5437, 408, 32, 10887
3948, 214.2658, -18.5857, 31746, 3940, 723, 18, 10919
3144, 163.7421, 34.0346, 31764, 3149, 601, 24, 10937
2380, 122.9723, -35.773, 31781, 2396, 187, 69, 10961
2396, 123.555, -35.4899, 31781, 2380, 186, 70, 11030
4027, 219.3339, -46.1335, 31813, 4036, 222, 66, 11100
1451, 83.7051, 9.4896, 31821, 1469, 190, 52, 11166
1469, 84.227, 9.2894, 31821, 1451, 189, 54, 11218
5222, 282.4413, 32.8128, 31898, 5224, 502, 50, 11272
4219, 229.7047, -60.4964, 32160, 4243, 508, 47, 11322
3314, 174.5298, -61.8266, 32212, 3308, 62, 107, 11369
4074, 221.9369, -26.0875, 32294, 4076, 948, 32, 11476
3690, 198.2117, -42.6997, 32388, 3681, 988, 42, 11508
1080, 66.5774, 22.8134, 32432, 1076, 528, 60, 11550
3040, 157.6636, -61.3564, 32577, 3059, 393, 93, 11610
260, 16.4035, -9.9795, 32597, 268, 98, 25, 11703
